Designator,Mid X,Mid Y,Layer,Rotation
R235,-209.3474mm,-54.5592mm,T,180
R234,-209.3474mm,-55.8292mm,T,180
R232,-209.3474mm,-57.0992mm,T,180
R231,-209.3474mm,-58.3692mm,T,180
R229,-209.3474mm,-59.6392mm,T,180
R228,-209.3474mm,-60.9092mm,T,180
R226,-209.3474mm,-53.2892mm,B,180
R225,-209.3474mm,-55.8292mm,B,180
R224,-209.3474mm,-58.3692mm,B,180
R223,-209.3474mm,-60.9092mm,B,180
R210,-209.3474mm,-40.3352mm,T,180
R209,-209.3474mm,-41.6052mm,T,180
R207,-209.3474mm,-42.8752mm,T,180
R206,-209.3474mm,-44.1452mm,T,180
R204,-209.3474mm,-45.4152mm,T,180
R203,-209.3474mm,-46.6852mm,T,180
R201,-209.3474mm,-47.9552mm,T,180
R200,-209.3474mm,-49.2252mm,T,180
R198,-209.3474mm,-41.6052mm,B,180
R197,-209.3474mm,-44.1452mm,B,180
R196,-209.3474mm,-46.6852mm,B,180
R195,-209.3474mm,-49.2252mm,B,180
R182,-209.3474mm,-28.1432mm,T,180
R181,-209.3474mm,-29.4132mm,T,180
R179,-209.3474mm,-30.6832mm,T,180
R178,-209.3474mm,-31.9532mm,T,180
R176,-209.3474mm,-33.2232mm,T,180
R175,-209.3474mm,-34.4932mm,T,180
R173,-209.3474mm,-35.7632mm,T,180
R172,-209.3474mm,-37.0332mm,T,180
R170,-209.3474mm,-29.4132mm,B,180
R169,-209.3474mm,-31.9532mm,B,180
R168,-209.3474mm,-34.4932mm,B,180
R167,-209.3474mm,-37.0332mm,B,180
R161,-213.5378mm,0.4968mm,T,270
R159,-213.5378mm,-2.1732mm,T,90
R156,-213.5378mm,-16.3718mm,T,90
R150,-213.5378mm,-13.7018mm,T,270
P17,-221.8292mm,-84.7262mm,T,270
P22,-221.8292mm,-104.6861mm,T,270
P26,-221.8292mm,-124.6460mm,T,270
JP9,-230.2764mm,-57.9120mm,T,270
JP10,-230.2796mm,-69.9770mm,T,270
JP8,-230.2796mm,-46.0756mm,T,270
JP12,-230.3272mm,-1.5748mm,T,270
JP11,-230.3272mm,-15.8750mm,T,270
JP7,-230.3272mm,-33.9358mm,T,270
