Designator,Mid X,Mid Y,Layer,Rotation
R92,-43.1876mm,-97.5360mm,T,360
C89,-43.1876mm,-97.5106mm,B,180
R98,-43.8912mm,-100.4570mm,T,90
C36,-44.1051mm,-33.1630mm,T,270
C45,-44.1481mm,-35.8270mm,T,270
R97,-44.7548mm,-103.0224mm,T,180
L17,-45.2742mm,-108.3129mm,T,90
R90,-45.5422mm,-100.4570mm,T,90
R91,-46.2356mm,-97.5360mm,T,180
C88,-46.2356mm,-97.5106mm,B,360
C94,-46.3296mm,-87.1171mm,T,270
C87,-46.3296mm,-73.0504mm,T,90
C86,-46.3296mm,-82.3454mm,T,270
C140,-47.2774mm,23.1760mm,B,90
C139,-47.2774mm,23.1760mm,T,270
R141,-50.0634mm,-97.5614mm,T,360
C120,-50.0634mm,-97.5614mm,B,180
R149,-50.7238mm,-100.4570mm,T,90
R291,-50.7746mm,23.0124mm,T,270
R329,-50.9524mm,7.0612mm,T,180
JP6,-51.3198mm,-121.6516mm,T,360
R148,-51.6128mm,-103.0224mm,T,180
L28,-52.2832mm,-108.3129mm,T,90
R147,-52.4764mm,-100.4570mm,T,90
C119,-53.1430mm,-97.5614mm,B,360
R140,-53.1430mm,-97.5614mm,T,180
D5,-53.5940mm,-14.0716mm,T,90
R300,-54.8640mm,-18.0086mm,T,270
C118,-56.1086mm,-97.5614mm,B,180
R139,-56.1086mm,-97.5614mm,T,360
R146,-56.7182mm,-100.4570mm,T,90
C157,-57.5310mm,-37.0840mm,T,180
C151,-57.5564mm,-29.7434mm,T,270
C150,-57.5818mm,-35.0266mm,B,180
R145,-57.6072mm,-103.0224mm,T,180
U17,-58.0644mm,-90.6272mm,T,90
U16,-58.0644mm,-77.7685mm,T,90
L27,-58.3190mm,-108.3129mm,T,90
R144,-58.4454mm,-100.4570mm,T,90
R138,-59.1490mm,-97.5614mm,T,180
C117,-59.1490mm,-97.5614mm,B,360
R137,-62.2630mm,-97.5614mm,T,360
C116,-62.2630mm,-97.5614mm,B,180
R143,-62.9666mm,-100.4570mm,T,90
U33,-63.2714mm,-30.9245mm,T,180
U34,-63.2714mm,-39.0144mm,T,180
